%time,field.x,field.y,field.z
1456328987575521945,1.57648161054e-05,-2.39069849253e-05,2.43888899684e-05
1456328987595704078,1.54358610511e-05,-2.39449754357e-05,2.45231494308e-05
1456328987615811109,1.52920305729e-05,-2.39693269134e-05,2.44984924793e-05
1456328987635965108,1.50989755988e-05,-2.38790929317e-05,2.46478229761e-05
1456328987655838966,1.49468615651e-05,-2.39188537002e-05,2.46633395553e-05
1456328987676347017,1.48503556848e-05,-2.3933789134e-05,2.4734890461e-05
1456328987697146892,1.4721621573e-05,-2.39722520113e-05,2.483856529e-05
1456328987717402935,1.45294010639e-05,-2.3963779211e-05,2.48690888286e-05
1456328987737829923,1.45052403212e-05,-2.38994315267e-05,2.48919740319e-05
1456328987758090019,1.45292848349e-05,-2.40035384893e-05,2.48856753111e-05
1456328987778083086,1.43366619945e-05,-2.40662336349e-05,2.49732583761e-05
1456328987799422979,1.4296272397e-05,-2.40414097905e-05,2.502861619e-05
1456328987821496009,1.41998305917e-05,-2.39604756236e-05,2.50907480717e-05
1456328987841563940,1.41200095415e-05,-2.38888382912e-05,2.50651270151e-05
1456328987861512899,1.40477269888e-05,-2.39202424884e-05,2.5105085969e-05
1456328987881495952,1.38068929315e-05,-2.38784775138e-05,2.52227902412e-05
1456328987901772975,1.36711642146e-05,-2.40070536733e-05,2.51837253571e-05
1456328987921880006,1.36873841286e-05,-2.40555197001e-05,2.51525491476e-05
1456328987942368984,1.35026022792e-05,-2.40298703313e-05,2.52628833055e-05
1456328987962450981,1.35744407773e-05,-2.39335268736e-05,2.52859711647e-05
1456328987982542991,1.32694855332e-05,-2.39715158939e-05,2.54204034805e-05
1456328988002688884,1.31008252501e-05,-2.38581120968e-05,2.55135536194e-05
1456328988023847103,1.27884328365e-05,-2.39372774959e-05,2.55685329437e-05
1456328988044120073,1.26112565398e-05,-2.39028036594e-05,2.57347941399e-05
1456328988064224958,1.23792596161e-05,-2.39108011127e-05,2.57332772017e-05
1456328988084430932,1.23237840831e-05,-2.3759880662e-05,2.56586492062e-05
1456328988104530096,1.20366387069e-05,-2.37456515431e-05,2.553640306e-05
